# Crustal GMPE, Moratalla
7.5 5.0 158.812
7.5 5.5 94.982
7.5 6.0 64.115
7.5 6.5 45.830
7.5 7.0 32.209
7.5 7.5 22.172
7.5 8.0 14.733
7.6 2.5 707.946
7.6 3.0 542.607
7.6 3.5 439.102
7.6 4.0 340.636
7.6 4.5 249.866
7.6 5.0 168.572
7.6 5.5 101.604
7.6 6.0 68.993
7.6 6.5 49.088
7.6 7.0 34.274
7.6 7.5 23.434
7.6 8.0 15.484
7.7 2.5 707.946
7.7 3.0 563.690
7.7 3.5 457.828
7.7 4.0 357.698
7.7 4.5 264.019
7.7 5.0 180.116
7.7 5.5 109.491
7.7 6.0 75.051
7.7 6.5 53.201
7.7 7.0 36.923
7.7 7.5 25.091
7.7 8.0 16.482
7.8 2.5 707.946
7.8 3.0 584.165
7.8 3.5 477.137
7.8 4.0 374.863
7.8 4.5 279.409
7.8 5.0 192.294
7.8 5.5 118.152
7.8 6.0 81.783
7.8 6.5 57.942
7.8 7.0 39.982
7.8 7.5 26.974
7.8 8.0 17.628
7.9 2.5 794.328
7.9 3.0 605.524
7.9 3.5 497.451
7.9 4.0 393.080
7.9 4.5 294.840
7.9 5.0 205.174
7.9 5.5 127.548
7.9 6.0 88.906
7.9 6.5 63.282
7.9 7.0 43.407
7.9 7.5 29.083
7.9 8.0 18.878
8.0 2.5 794.328
8.0 3.0 627.812
8.0 3.5 517.219
8.0 4.0 411.220
8.0 4.5 311.180
8.0 5.0 218.646
8.0 5.5 138.327
8.0 6.0 96.583
8.0 6.5 69.259
8.0 7.0 47.274
8.0 7.5 31.449
8.0 8.0 20.272
8.1 2.5 794.328
8.1 3.0 649.170
8.1 3.5 537.582
8.1 4.0 429.960
8.1 4.5 327.655
8.1 5.0 232.598
8.1 5.5 150.198
8.1 6.0 104.985
8.1 6.5 75.975
8.1 7.0 51.656
8.1 7.5 34.098
8.1 8.0 21.815
8.2 2.5 794.328
8.2 3.0 671.068
8.2 3.5 558.927
8.2 4.0 449.505
8.2 4.5 344.801
8.2 5.0 247.310
8.2 5.5 162.895
8.2 6.0 114.257
8.2 6.5 83.189
8.2 7.0 56.634
8.2 7.5 37.101
8.2 8.0 23.538
8.3 2.5 891.251
8.3 3.0 693.840
8.3 3.5 579.517
8.3 4.0 468.539
8.3 4.5 362.394
8.3 5.0 262.289
8.3 5.5 176.553
8.3 6.0 124.065
8.3 6.5 90.903
8.3 7.0 62.277
8.3 7.5 40.517
8.3 8.0 25.480
8.4 2.5 891.251
8.4 3.0 716.599
8.4 3.5 600.683
8.4 4.0 488.585
8.4 4.5 380.187
8.4 5.0 278.141
8.4 5.5 191.565
8.4 6.0 134.957
8.4 6.5 99.347
8.4 7.0 68.680
8.4 7.5 44.416
8.4 8.0 27.666
8.5 2.5 891.251
8.5 3.0 738.795
8.5 3.5 622.788
8.5 4.0 508.911
8.5 4.5 399.029
8.5 5.0 294.120
8.5 5.5 207.635
8.5 6.0 147.218
8.5 6.5 108.489
8.5 7.0 75.950
8.5 7.5 48.873
8.5 8.0 30.147
